Style:	Preppy
Color:	Multicolor
Pattern Type:	Letter, Striped
Length:	Crop
Season:	Summer
Fit Type:	Regular Fit
Neckline:	Round Neck
Sleeve Length:	Short Sleeve
Sleeve Type:	Regular Sleeve
Sheer:	No
Placket Type:	Pullovers
Material:	Polyester
Composition:	92% Polyester, 8% Spandex
Fabric:	Slight Stretch
Care Instructions:	Machine wash or professional dry clean

Product4
