Color:	Multicolor
Style:	Elegant
Pattern Type:	Floral, Colorblock
Details:	Wrap, Criss Cross, Pleated, Rib-Knit
Season:	Summer
Type:	Fit and Flare
Neckline:	Off the Shoulder
Sleeve Length:	Short Sleeve
Sleeve Type:	Regular Sleeve
Waist Line:	High Waist
Hem Shaped:	Flared
Length:	Midi
Fit Type:	Regular Fit
Fabric:	Non-Stretch
Material:	Polyester
Composition:	97% Polyester, 3% Elastane
Care Instructions:	Machine wash or professional dry clean
Sheer:	No
Arabian Clothing:	Yes

Price: $23
