Color:	Multicolor
Style:	Casual
Pattern Type:	Colorblock
Details:	Pocket, Button Front
Length:	Regular
Season:	Spring/Fall
Type:	Shirt
Fit Type:	Regular Fit
Neckline:	Collar
Sleeve Length:	Long Sleeve
Sleeve Type:	Regular Sleeve
Sheer:	No
Placket Type:	Placket
Material:	Corduroy
Composition:	100% Polyester
Fabric:	Non-Stretch

Price: $24
