Color:	Khaki
Style:	Work
Pattern Type:	Plain
Details:	Button, Pocket
Season:	Spring/Fall
Top Type:	Blazer
Bottom Type:	Pants
Neckline:	Lapel
Sleeve Length:	Long Sleeve
Sleeve Type:	Regular Sleeve
Fit Type:	Regular Fit
Fabric:	Non-Stretch
Material:	Polyester
Composition:	78% Polyester, 16% Viscose, 6% Elastane
Care Instructions:	Machine wash or professional dry clean
Body:	Lined top, unlined bottom
Sheer:	No

Price: $116
